chain,participant,gender,generation,material,correct_recall,total_recall
1,1,f,1,individual,5,5
1,1,f,1,gossip,8,7
1,1,f,1,physical,3,3
1,2,f,2,individual,5,5
1,2,f,2,gossip,8,8
1,2,f,2,physical,2,2
1,3,f,3,individual,4,5
1,3,f,3,gossip,6,8
1,3,f,3,physical,1,2
1,4,f,4,individual,0,1
1,4,f,4,gossip,5,6
1,4,f,4,physical,1,1
2,5,f,1,individual,5,6
2,5,f,1,gossip,12,12
2,5,f,1,physical,1,2
2,6,f,2,individual,2,2
2,6,f,2,gossip,7,7
2,6,f,2,physical,1,1
2,7,f,3,individual,2,2
2,7,f,3,gossip,7,7
2,7,f,3,physical,1,1
2,8,f,4,individual,2,2
2,8,f,4,gossip,7,7
2,8,f,4,physical,1,1
3,9,f,1,individual,4,7
3,9,f,1,gossip,8,10
3,9,f,1,physical,0,2
3,10,f,2,individual,1,3
3,10,f,2,gossip,8,7
3,10,f,2,physical,0,2
3,11,f,3,individual,1,2
3,11,f,3,gossip,8,7
3,11,f,3,physical,1,2
3,12,f,4,individual,1,1
3,12,f,4,gossip,5,6
3,12,f,4,physical,0,0
4,13,f,1,individual,7,9
4,13,f,1,gossip,12,10
4,13,f,1,physical,6,7
4,14,f,2,individual,5,9
4,14,f,2,gossip,8,8
4,14,f,2,physical,4,4
4,15,f,3,individual,2,2
4,15,f,3,gossip,8,8
4,15,f,3,physical,3,3
4,16,f,4,individual,2,2
4,16,f,4,gossip,8,8
4,16,f,4,physical,0,0
5,17,f,1,individual,10,10
5,17,f,1,gossip,11,10
5,17,f,1,physical,2,3
5,18,f,2,individual,5,5
5,18,f,2,gossip,9,9
5,18,f,2,physical,0,1
5,19,f,3,individual,1,2
5,19,f,3,gossip,5,5
5,19,f,3,physical,0,1
5,20,f,4,individual,1,2
5,20,f,4,gossip,5,5
5,20,f,4,physical,0,0
6,21,f,1,individual,3,3
6,21,f,1,gossip,6,5
6,21,f,1,physical,2,3
6,22,f,2,individual,2,1
6,22,f,2,gossip,6,5
6,22,f,2,physical,1,1
6,23,f,3,individual,2,2
6,23,f,3,gossip,4,4
6,23,f,3,physical,0,0
6,24,f,4,individual,2,1
6,24,f,4,gossip,4,4
6,24,f,4,physical,0,0
7,25,f,1,individual,5,5
7,25,f,1,gossip,9,9
7,25,f,1,physical,6,6
7,26,f,2,individual,2,2
7,26,f,2,gossip,5,5
7,26,f,2,physical,3,4
7,27,f,3,individual,0,0
7,27,f,3,gossip,3,4
7,27,f,3,physical,1,2
7,28,f,4,individual,0,0
7,28,f,4,gossip,3,4
7,28,f,4,physical,1,2
8,29,m,1,individual,4,4
8,29,m,1,gossip,11,11
8,29,m,1,physical,3,4
8,30,m,2,individual,1,2
8,30,m,2,gossip,9,8
8,30,m,2,physical,1,3
8,31,m,3,individual,1,1
8,31,m,3,gossip,7,7
8,31,m,3,physical,1,3
8,32,m,4,individual,1,1
8,32,m,4,gossip,1,3
8,32,m,4,physical,0,0
9,33,m,1,individual,2,2
9,33,m,1,gossip,6,5
9,33,m,1,physical,2,2
9,34,m,2,individual,1,1
9,34,m,2,gossip,5,4
9,34,m,2,physical,0,0
9,35,m,3,individual,0,0
9,35,m,3,gossip,4,4
9,35,m,3,physical,0,0
9,36,m,4,individual,0,0
9,36,m,4,gossip,3,4
9,36,m,4,physical,0,0
10,37,m,1,individual,4,4
10,37,m,1,gossip,6,9
10,37,m,1,physical,2,3
10,38,m,2,individual,1,1
10,38,m,2,gossip,5,7
10,38,m,2,physical,0,2
10,39,m,3,individual,1,1
10,39,m,3,gossip,4,6
10,39,m,3,physical,0,2
10,40,m,4,individual,0,0
10,40,m,4,gossip,3,5
10,40,m,4,physical,0,0
